#Frame     o_angle_m1   o_angle_m2
       1      39.6302      42.4428
       2      37.5678      39.5472
       3      35.8392      41.2481
       4      39.1143      39.4073
       5      39.9204      40.8718
       6      38.2072      43.2267
       7      36.8096      39.6927
       8      40.3732      40.0504
       9      39.7440      39.4926
      10      40.0451      38.8666
      11      37.8879      38.5772
      12      38.2529      38.9426
      13      39.5977      40.5153
      14      39.8567      40.4528
      15      39.9085      39.4117
      16      38.5066      37.6476
      17      38.5390      36.4571
      18      41.9312      39.9491
      19      41.3290      40.9367
      20      40.0752      39.9331
      21      38.7443      39.5404
      22      40.0453      40.1811
      23      39.5715      38.8599
      24      35.3398      37.7741
      25      35.3490      39.5806
      26      37.8452      37.9949
      27      37.8539      40.1204
      28      37.1926      39.3380
      29      36.4881      39.3403
      30      34.7643      39.9057
      31      36.8546      40.4165
      32      35.7864      40.2252
      33      36.8006      40.4868
      34      38.2702      39.6035
      35      37.1951      39.7129
      36      36.5793      38.7237
      37      38.2523      39.8577
      38      37.8208      38.4068
      39      38.4016      37.2193
      40      38.1175      37.7491
      41      40.4001      38.5676
      42      38.2856      38.7592
      43      39.4382      37.6937
      44      37.3350      39.3628
      45      38.7211      39.6520
      46      36.2727      38.9813
      47      37.9953      39.9202
      48      37.2482      40.1809
      49      35.4376      39.6738
      50      34.1191      38.7808
      51      36.4614      39.9424
      52      35.8828      38.2791
      53      37.0351      39.6881
      54      37.6151      39.7070
      55      38.9204      40.2111
      56      38.9791      41.3957
      57      37.6980      38.2915
      58      40.2590      36.7086
      59      37.6743      39.7597
      60      38.9977      39.9341
      61      38.6971      40.6072
      62      39.4559      39.2725
      63      40.5076      38.1533
      64      40.0499      39.9281
      65      36.3274      35.7467
      66      39.3185      38.5812
      67      38.6777      36.6079
      68      35.7138      35.3721
      69      38.1195      36.0614
      70      37.5179      35.2171
      71      37.8732      36.1799
      72      41.1747      38.6308
      73      39.8507      37.5299
      74      40.1322      38.2132
      75      36.9072      37.4319
      76      37.2958      41.0842
      77      37.0904      39.4689
      78      38.6883      38.8547
      79      38.6062      38.8009
      80      39.9824      39.2221
      81      36.4253      38.2382
      82      38.7422      39.1444
      83      38.2008      39.6631
      84      38.4216      41.5742
      85      36.6212      38.9541
      86      38.4377      39.7351
      87      37.2994      39.5511
      88      38.8241      39.6139
      89      39.8946      40.6075
      90      39.6088      41.4994
      91      37.9512      39.7769
      92      38.4720      38.5021
      93      38.0396      39.4953
      94      37.2398      40.0111
      95      35.4059      40.4959
      96      36.5405      40.3463
      97      37.4765      41.0187
      98      40.4343      40.0555
      99      40.4752      40.7628
     100      39.6116      41.1938
     101      39.7327      38.7925
     102      39.0354      41.0685
     103      39.6998      38.3506
     104      40.0813      41.6002
     105      37.8252      40.4182
     106      38.4808      41.0753
     107      40.1647      38.4441
     108      40.4042      39.4496
     109      39.2858      41.0124
     110      39.1274      39.4039
     111      38.9284      39.1993
     112      37.4603      38.5656
     113      36.6512      40.6773
     114      38.7219      37.6453
     115      36.1856      36.3375
     116      37.5102      38.2544
     117      36.1008      36.7176
     118      38.5881      39.9178
     119      37.9977      40.8884
     120      38.5600      40.1626
     121      39.7222      39.0459
     122      38.3685      38.6896
     123      38.9472      39.8021
     124      37.3618      39.3271
     125      38.2680      37.3621
     126      38.7111      41.0899
     127      39.5494      39.5137
     128      38.7754      39.9754
     129      35.0067      40.1205
     130      36.4546      37.9837
     131      38.5006      40.3312
     132      40.1089      41.9624
     133      38.8862      37.8938
     134      38.1710      37.6515
     135      37.1332      41.8010
     136      37.4862      40.8156
     137      38.2051      40.6523
     138      36.6592      39.7549
     139      37.1061      41.0927
     140      36.7908      40.3341
     141      36.0601      40.8558
     142      37.2521      40.9169
     143      37.4403      39.3799
     144      36.7493      40.5571
     145      37.7373      38.9987
     146      37.0323      39.1555
     147      37.4970      38.3907
     148      35.8471      38.5677
     149      36.4719      39.2188
     150      39.6397      40.6260
     151      39.5462      40.3616
     152      36.5645      39.5562
     153      38.9422      38.5772
     154      37.5144      39.5437
     155      38.7429      38.5138
     156      38.7757      38.7833
     157      38.9486      39.8955
     158      38.4247      40.3271
     159      35.7277      39.2761
     160      36.6482      38.3655
     161      38.8878      40.7234
     162      38.5711      36.8176
