#Frame        chi1:41      chi2:41
       1     -79.0850      94.3693
       2     -62.6774     114.8557
       3     -78.3203      85.3742
       4     -77.2535     107.9902
       5     -78.9903      94.3712
       6     -79.3787     110.5186
       7     -83.7780     106.4095
       8     -87.2154     110.1654
       9     -78.6048     103.3485
      10     -82.3635     108.2315
      11     -72.1530     104.5399
      12     -72.9545      84.9683
      13     -68.9013     105.1538
      14     -89.7429     107.4439
      15     -83.2180     112.8150
      16     -81.2269     104.0734
      17     -82.5932     102.9435
      18     -81.7181     123.6860
      19     -82.0055     102.5403
      20     -79.4698     106.2343
      21     -72.1470      97.2057
      22     -72.3048      93.6042
      23     -94.0247     112.7738
      24     -82.2876     111.9516
      25     -75.7083      99.4480
      26     -64.1820      82.6284
      27     -83.1671     115.2845
      28     -87.8223      98.8332
      29     -80.1366     100.2775
      30     -78.1012     106.0648
      31     -81.0041      96.4118
      32     -83.8936     110.8685
      33     -70.1066      84.4627
      34     -75.5988      86.0550
      35     -78.2146      96.2657
      36     -78.6385      93.4746
      37     -68.7336      93.0532
      38     -81.3298     101.6965
      39     -65.9653      97.8877
      40     -78.9314     106.5278
      41     -72.4919      84.8360
      42     -70.5107      87.4885
      43     -83.4424     108.2234
      44     -86.6349      84.3578
      45     -77.7420      87.5084
      46     -78.4829     103.6843
      47     -76.6520     106.4478
      48     -60.5827      73.2648
      49     -76.1355      72.5990
      50     -88.4195     103.6073
      51     -81.5052      63.5383
      52     -78.5554     109.8534
      53     -85.2999      90.6097
      54     -88.0606      82.3948
      55     -81.4450      85.8422
      56     -79.8645      95.1356
      57     -80.4499      85.6898
      58     -85.7104      95.9587
      59     -90.8129      98.3168
      60     -83.6955     105.9393
      61     -78.6182      93.3795
      62     -75.5503      99.9051
      63     -82.6484      86.0289
      64     -77.3409      97.8060
      65     -80.5870      99.6425
      66     -64.5347      92.8094
      67     -76.4907      87.5428
      68     -69.2622      89.9353
      69     -74.6943      84.8178
      70     -83.4139      89.0298
      71     -75.5263      93.8993
      72     -74.0341      85.2795
      73     -81.2484      85.9181
      74     -83.2939      90.8638
      75     -56.5810      98.7773
      76     -77.8277      98.3027
      77     -83.3247      88.5757
      78     -60.3045      93.3678
      79     -81.9711     111.1263
      80     -71.9837     106.3779
      81     -59.3412      96.9089
      82     -78.8420     111.1611
      83     -81.2989      99.7649
      84     -65.8132     101.9010
      85     -84.9113     103.3246
      86     -81.0787      93.5076
      87     -86.0362     106.6925
      88     -83.7520     101.1725
      89     -88.7415     101.9640
      90     -86.5279     102.4694
      91     -91.6546      90.0320
      92     -88.9814      90.0619
      93     -68.1542      83.6599
      94     -76.7588      83.0324
      95     -80.6420      88.5522
      96     -75.8863      84.7408
      97     -69.4494      92.5346
      98     -78.6895     107.0115
      99     -84.1476      97.5354
     100     -91.8154     104.0094
     101     -81.8791      95.1010
     102     -78.7270      99.8192
     103     -77.8803      95.0070
     104     -83.9272      83.5794
     105     -83.1915      82.4210
     106     -73.4613     107.1991
     107     -82.5345     112.0079
     108     -69.9553     108.3383
     109     -73.7769      86.1771
     110     -80.0341      94.2475
     111     -72.1630      76.3523
     112     -95.5552     107.4450
     113     -77.5729     102.2584
     114     -82.7094      86.9306
     115     -75.6290      90.5438
     116     -76.0213      95.6504
     117     -80.2106     105.5090
     118     -82.7046     110.5984
     119     -79.2801     100.1533
     120     -80.5717      83.8413
     121     -90.5074      98.3176
     122     -84.7972     100.5449
     123     -79.1106      78.5934
     124     -70.4001      89.7777
     125     -86.0785      86.2153
     126     -81.8221      86.4725
     127     -78.2265      92.4071
     128     -75.0117      79.6623
     129     -75.1509      82.8585
     130     -88.1600      96.9295
     131     -71.6835      74.4867
     132     -72.7458      93.5814
     133     -68.7378      98.7779
     134     -63.5198      94.0250
     135     -57.7340      91.7483
     136     -75.8429      94.3009
     137     -58.6201      89.1130
     138     -67.8676      94.1399
     139     -65.9522      96.8290
     140     -75.3600      88.9806
     141     -81.2800      92.6590
     142     -78.4172      77.0138
     143     -57.6455      90.8789
     144     -68.5417      86.6219
     145     -66.5026      97.2274
     146     -86.9335     109.6817
     147     -65.6570      99.6719
     148     -74.7686      91.6859
     149     -77.4015     111.1846
     150     -67.7439      96.4126
     151     -83.7281     105.8119
     152     -61.5510      88.1722
     153     -78.5532     101.4269
     154     -82.8827      91.4123
     155     -70.2828     103.8572
     156     -73.9354      97.4700
     157     -82.0270     100.5746
     158     -65.7429      93.2585
     159     -64.9264      96.3989
     160     -59.2562      97.1439
     161     -73.9922     105.7509
     162     -79.7157      99.2611
     163     -74.1875     103.8694
     164     -75.1321     101.4251
     165     -74.9637      88.8720
     166     -74.1465      95.3210
     167     -71.4145      86.9035
     168     -85.9512      98.8812
     169     -76.0503     115.7438
     170     -65.8589      97.0566
     171     -82.2749     106.7391
     172     -66.9932     107.0524
     173     -76.4730      98.9292
     174     -71.3989      97.4472
     175     -69.3821      90.4520
     176     -78.6309      94.5318
     177     -58.6113      95.9598
     178     -83.9154      94.5152
     179     -73.6869     101.4295
     180     -84.4681     104.4137
     181     -78.3530      94.5317
     182     -73.5319     111.5656
     183     -62.1814      87.4367
     184     -75.7219     102.0833
     185     -83.7683      97.8496
     186     -74.4493     103.6001
     187     -79.1178      89.8720
     188     -70.6015      91.4970
     189     -91.4756     100.2243
     190     -98.4910     109.7831
     191     -70.2199     105.2173
     192     -70.3239     100.1275
     193     -68.9685      92.8149
     194     -73.0662     109.8405
     195     -75.1930     109.0711
     196     -77.1525     103.2340
     197     -72.0890     101.7412
     198     -79.8608     113.9944
     199     -71.3013     116.1693
     200     -72.7741      98.1458
     201     -70.1691     110.3827
     202     -70.2460     106.7403
     203     -64.1402     108.3791
     204     -81.2215     103.7398
     205     -69.6973      96.8573
     206     -78.7998     108.0353
     207     -56.9006      96.7645
     208     -69.9101     100.8617
     209     -68.2841     116.1434
     210     -65.8924     118.6967
     211     -71.4474     102.1026
     212     -63.3730     102.1238
     213     -62.2189      91.7290
     214     -77.3137     108.5991
     215     -82.9969      99.0432
     216     -71.5485      95.2148
     217     -86.3916     111.9456
     218     -78.1273     106.7909
     219     -70.8142      99.5867
     220     -76.4478     101.0892
     221     -67.1457     100.2812
     222     -68.7547      99.4602
     223     -60.4756      90.5192
     224     -72.8871     115.8119
     225     -79.5810     100.1413
     226     -67.9315      89.2976
     227     -58.3698      85.8674
     228     -72.3056      92.9767
     229     -63.1026     111.5451
     230     -64.6221      93.2299
     231     -62.0335      85.9530
     232     -61.2757     100.8120
     233     -70.4957     105.6694
     234     -68.1153      82.5147
     235     -72.5054      97.1672
     236     -76.0399     104.0650
     237     -58.1119      93.8916
     238     -69.5568     101.8971
     239     -68.9528      92.4237
     240     -79.6721      96.7107
     241     -63.8618      90.5898
     242     -71.9285     104.8121
     243     -69.4867      92.7555
     244     -70.3967      97.6452
     245     -67.9874     110.0648
     246     -74.4275     106.0103
     247     -56.0335      90.2011
     248     -54.4163      94.4704
     249     -69.3750     101.4472
     250     -64.2816      87.2844
     251     -69.6534      91.2899
     252     -61.6262      90.1720
     253     -64.8021      96.5636
     254     -68.3070     111.1631
     255     -64.6265      87.4264
     256     -68.9900     101.5262
     257     -74.5181      87.0664
     258     -84.6577     113.2663
     259     -64.5811     102.1617
     260     -71.7391      92.3595
     261     -52.2110      99.2350
     262     -56.3986      91.2989
     263     -69.7160     100.9347
     264     -71.7650      96.1074
     265     -58.8984      96.2916
     266     -66.5612      89.6938
     267     -66.6699      95.7479
     268     -74.8953     105.9382
     269     -65.3046      96.6443
     270     -64.1072      81.8096
     271     -68.1108      86.0144
     272     -72.4798      98.0547
     273     -63.1668      92.6784
     274     -58.1456      92.6417
     275     -69.9782      99.3400
     276     -62.9728      91.6415
     277     -63.0170      93.7345
     278     -80.5302     107.7950
     279     -70.0853      96.4800
     280     -53.2806      85.5827
     281     -61.2624     111.5551
     282     -73.8982     100.4304
     283     -60.7938      93.8267
     284     -66.8919      85.3530
     285     -56.3050      91.4506
     286     -75.6751      79.7667
     287     -70.4084     100.4499
     288     -77.9514      99.3994
     289     -68.2377      91.8386
     290     -85.6015      99.4443
     291     -63.0503      82.6596
     292     -59.7638      93.3630
     293     -69.6958     101.8286
     294     -65.1622      95.9996
     295     -61.5673      94.9810
     296     -73.6652      95.6456
     297     -71.0319      92.8329
     298     -78.5503     109.8166
     299     -69.9259      94.5661
     300     -68.7421      94.7930
     301     -55.1577      87.8188
     302     -54.2882      96.0135
     303     -71.6280      90.0556
     304     -67.4856     100.2583
     305     -68.6030      94.6056
     306     -77.2487      95.8896
     307     -68.5480     100.4610
     308     -71.2026     109.2530
     309     -76.0355      90.4494
     310     -71.7812     103.5835
     311     -68.3587     104.5659
     312     -57.7901      93.6375
     313     -72.1077      76.7618
     314     -74.7158     109.5648
     315     -63.4067      85.6061
     316     -70.0773      98.6781
     317     -60.5225      90.4065
     318     -72.9669     108.1628
     319     -62.7812      80.1629
     320     -72.2520      95.3475
     321     -65.6708      97.8643
     322     -78.6937      75.9477
     323     -68.3006      82.8774
     324     -77.5067     100.3805
     325     -69.9485      85.7688
     326     -67.1121      94.8951
     327     -61.4139      99.4778
     328     -66.7660      97.1192
     329     -63.0848      95.3624
     330     -75.4245      89.4891
     331     -62.3780      86.9681
     332     -60.4939      79.5151
     333     -66.1890     100.5879
     334     -67.7343      93.1534
     335     -75.9872      83.1274
     336     -70.5553      95.4599
     337     -66.5761      96.3465
     338     -55.5284      93.5201
     339     -68.9045     104.5861
     340     -58.6030      95.3722
     341     -67.8283      85.7852
     342     -72.7880      92.4448
     343     -69.4107     101.8212
     344     -60.5449      93.5210
     345     -66.3835      91.9837
     346     -56.1434      93.0857
     347     -61.8249      90.4180
     348     -65.6578      87.9011
     349     -56.6586      93.7355
     350     -76.6222     109.4919
     351     -69.4697      89.3657
     352     -64.1066      88.3612
     353     -63.6043      90.6159
     354     -62.8450      96.1506
     355     -71.5988      96.5596
     356     -66.0312      79.4199
     357     -63.1499      85.2825
