#Frame        chi1:32      chi2:32      chi3:32
       1    -178.7921      58.8635      82.0783
       2    -177.9263      77.4140      52.8717
       3    -179.7433      58.7005      92.3200
       4    -172.1186      42.8395     103.4543
       5    -175.0182      43.8669      63.4988
       6     178.6528      59.3293      63.6151
       7     178.2300      52.6788      62.3791
       8    -172.5546      45.8647      71.2208
       9    -167.3140      36.3373      98.3489
      10    -175.5675      50.7053      71.7778
      11    -173.7658      34.1859      84.7525
      12    -118.7995     -42.8066      95.0039
      13    -176.5497      55.3780      99.3145
      14    -172.8178      50.5044      84.4832
      15    -179.2660      56.5039      78.0690
      16    -176.5233      60.7557      90.2271
      17     174.0988      62.7029      80.3568
      18    -171.3715      49.4226      96.5727
      19    -172.6388      44.3194      85.6824
      20     -82.0532     -58.3675     149.2255
      21    -177.6367      47.6085      75.2440
      22    -166.2560      49.1472      89.2706
      23    -170.1659      47.9744      90.5785
      24     177.0177      64.9923      95.8844
      25    -169.6542      53.3165      74.2505
      26     174.8973      60.3603      99.5800
      27     178.1231      52.7009      74.7231
      28    -173.0661      47.4542      79.9243
      29    -178.2608      47.2427     101.2513
      30    -171.1945      39.1976      62.1516
      31     178.2242      47.0867      95.1989
      32    -175.8247      58.3134    -131.5222
      33    -177.8907      50.8171    -102.7509
      34    -160.8976      37.4784      83.9982
      35    -170.1934      55.6629     101.6065
      36    -169.0664      54.7527      77.3614
      37    -172.1689      66.3638      86.5346
      38    -179.5529      59.2122      74.3425
      39    -176.1639      59.4241      84.6485
      40    -170.5894      48.6046     123.5083
      41    -167.1959      50.5191      81.2640
      42    -164.9212      45.7913      94.7519
      43    -165.4525      63.5576    -138.5287
      44    -165.5363      35.5714     -84.1615
      45    -174.8311      64.5748     -85.9518
      46    -174.1199      44.3308     -84.5577
      47    -175.7240      54.3142     -89.8406
      48     -66.8718     -67.3644      21.0604
      49     173.5045      58.2226      43.6737
      50    -168.0755      40.7643      90.9505
      51    -176.2267      59.9969      97.9173
      52    -168.5334      66.7111      43.0599
      53    -174.6837      58.0466      54.2350
      54     160.4405      71.8178     -92.2212
      55    -169.3807      59.4944    -125.1210
      56     -86.4688     -68.5851      -9.4125
      57    -175.8685      59.6657     -83.7930
      58    -179.9640      60.3055     -61.5124
      59    -172.9529      53.5550     -88.2594
      60    -177.3022      37.7489      90.3003
      61     -67.2864     -68.0677     141.5455
      62    -105.7352     -60.3291     154.8088
      63     -81.3376     -58.8823     156.1793
      64    -170.6106      47.2614      89.8091
      65    -172.6983      52.3603      81.4068
      66    -172.5748      47.4507      98.3475
      67     179.6550      55.5949      68.4411
      68    -111.8715     -48.8832     158.1298
      69    -167.3209      49.0431      59.5188
      70    -169.4169      46.3080     -87.2757
      71    -161.9281      47.2069     -87.6947
      72     175.6620      45.2908     -86.5089
      73     169.4160      70.9160     -81.1285
      74    -165.0582      50.9409     -79.6271
      75    -171.3588      62.0050      44.9928
      76    -176.3161      62.7841      81.8967
      77    -179.4636      60.7258      78.0393
      78    -176.9103      69.9544      75.4861
      79     -78.6031     -42.9619      98.5143
      80     176.7914      36.9874      58.5768
      81     172.3107      57.3483      48.2776
      82    -166.1782      54.3798      55.4298
      83    -177.3030      59.8967      82.2048
      84    -177.5071      67.9418      65.9074
      85     179.3085      61.0486      49.7110
      86     175.8017      56.7659      78.1736
      87     170.5015      60.3169      63.7301
      88     178.2556      67.3392      86.0520
      89     169.6450      70.2832      88.6167
      90    -159.5724      69.3193      55.9341
      91    -179.3437      58.5173      49.1113
      92    -163.7802      42.5556      84.0220
      93    -165.2267      45.4473     -84.1866
      94    -172.5876      47.6153     -87.7170
      95    -160.2211      37.2280     -84.2748
      96    -163.1547      47.9933     -82.9176
      97    -174.8799      48.9476     -84.7974
      98    -166.5614      43.4817     -90.9163
      99    -171.5019      49.0671    -100.1881
     100    -176.8044      36.6852     -98.8682
     101     -71.4336     -62.5184     -23.2988
     102    -171.2976      46.3788     -81.3604
     103    -146.3330      52.1745    -109.1371
     104    -170.7805      55.4663     -93.1800
     105    -170.7323      57.4279     -92.9997
     106     179.8375      52.7325    -110.0510
     107    -169.6459      58.8491     -89.7887
     108    -161.0893      30.5018     -91.9125
     109    -173.5488      58.4013     -86.1326
     110    -176.5175      52.1617     -99.6081
     111    -161.0508      46.2212     -88.2867
     112    -178.1125      56.4948     -97.2144
     113    -173.4184      55.7941     -79.2949
     114     175.4276      72.2869     -80.3942
     115    -167.0968      51.0069     -91.8172
     116    -170.5918      44.9963    -115.2234
     117    -172.0467      45.0567     -91.5943
     118    -175.8205      47.4672    -108.3968
     119    -166.6878      53.8727     -97.7064
     120     176.6364      74.5993     -89.5079
     121    -166.9254      51.7209      45.4364
     122    -166.6729      52.0531      50.8391
     123    -179.1739      46.9569      88.1083
     124     178.5581      62.7358      90.8102
     125    -174.7669      53.5005      78.1750
     126     177.4629      51.8957      67.8284
     127     174.4802      60.3082     -89.8921
     128    -179.8318      81.6128    -152.2828
     129    -164.9268      45.7744     -77.6379
     130    -166.3965      51.4556    -139.1894
     131    -173.0659      60.0803     -86.5613
     132    -177.8699      59.1418     -96.5354
     133    -175.0816      52.4693     -98.7477
     134    -169.5044      46.0936     -74.9119
     135     178.5031      60.4319     -85.7432
     136     -70.2252     -66.0077      11.6923
     137    -174.1700      61.7500     -80.1036
     138    -178.7553      53.7037    -103.8392
     139     -80.8047     -71.1216     -22.5268
     140     179.4434      55.0518    -136.2649
     141    -173.6465      54.4464     -95.3700
     142    -171.0834      54.1384    -105.6529
     143    -175.2147      48.4687    -102.2835
     144    -164.8217      43.5700     -98.1387
     145     -93.9094     -56.2293     -13.8123
     146    -177.8277      40.6361     -76.0578
     147    -177.2723      51.6463     -94.7606
     148    -162.8030      28.6253     -69.3565
     149    -164.3271      46.9774     -88.9222
     150    -109.1724     -52.7297     -33.2830
     151    -176.4271      56.9332    -102.2183
     152    -174.3957      46.1799    -105.2203
     153    -160.9397      34.5984    -117.6618
     154    -167.8636      49.8655    -100.9157
     155     177.4520      61.4133     -93.0586
     156     -65.6623     -79.2799     -40.9294
     157    -166.8073      54.7758     -81.5083
     158    -156.3379      38.4911     -97.4231
     159    -161.6861      41.6776     -86.9482
     160    -159.3329      44.7476     -80.8948
     161    -171.9177      46.9015     -75.2126
     162    -173.2403      54.5443     -90.1483
     163     -83.7323     -58.6377     -22.5188
     164    -169.4370      42.3368     -95.3186
     165     177.3595      55.6804     -97.8365
     166    -169.9453      60.1332     -78.8117
     167    -165.4734      46.4407     -83.7303
     168     176.6936      63.2913    -122.6451
     169     179.1473      59.6107    -102.6349
     170     153.5192      62.7634      31.8245
     171    -163.0234      38.7366      82.8698
     172    -173.7173      61.4894      60.7475
     173    -178.1037      44.4965      82.1770
     174    -148.8459      36.9799      73.6637
     175    -170.4673      47.7240      67.2228
     176    -178.5992      58.5198      95.6594
     177    -177.0301      59.0259      60.8554
     178    -168.9486      63.7985      57.3607
     179    -179.6612      55.3693     -90.1205
     180    -177.6384      58.6689     -92.3388
     181    -170.8633      51.6187    -109.5012
     182     169.7608      62.8479    -101.1088
     183    -167.7428      51.8496     -80.3235
     184     177.9764      64.1370     -89.0601
     185    -168.6510      50.3728    -102.1492
     186    -175.7784      43.6493    -122.4725
     187     178.0694      64.7857     -79.7186
     188    -177.9218      55.2304     -93.7928
     189    -163.2095      51.1635     -92.4051
     190     175.5673      61.6213    -118.2225
     191     177.1464      63.4981     -88.0136
     192    -168.2507      61.3947    -102.2405
     193    -175.8286      67.0824     -86.0465
     194    -175.7911      60.1930     -94.8991
     195    -174.0436      45.9099    -101.7982
     196     178.4994      44.2986      76.3289
     197    -176.8356      76.9707      64.9003
     198     176.5857      59.6304      48.9510
     199    -174.8546      52.0571      78.0919
     200    -174.9837      52.8685      72.9222
     201    -175.4112      64.2333      66.0839
     202    -166.0403      42.2577      77.2278
     203     170.6128      66.3299      77.8377
     204    -157.2224      45.3840      73.9797
     205    -156.5927      30.5292      89.2545
     206    -174.5644      37.7715      69.5703
     207     -81.7511     -57.8504     175.2459
     208     -65.9871     -64.3245     171.7771
     209    -165.6449      49.3633      68.9319
     210    -168.4245      49.7912      55.2094
     211    -173.8356      46.7371      84.7041
     212    -176.3840      61.1849      83.0136
     213    -158.2708      33.1121      79.3193
     214    -165.6481      44.7657      93.5615
     215     -84.3287     -69.0267     179.2589
     216    -170.8751      63.2670      74.7602
     217    -173.2289      51.5714    -104.5853
     218     174.9353      50.9153     -73.9466
     219    -172.8386      49.3737    -103.1605
     220     -69.1058     -45.1173     -34.1513
     221     -77.1175     -69.2775      -9.3550
     222    -167.6012      59.5777    -120.3373
     223    -178.2499      40.5350     -74.4891
     224    -169.2294      38.9104    -111.9310
     225    -174.4856      52.7941     -89.4298
     226     -73.1620     -77.6933     -17.9967
     227     -82.2666     -62.9808     -19.5760
     228     178.6401      64.7877     -79.8036
     229     -62.1912     -67.6898     -26.8753
     230     -65.5514     -49.4374     -42.7217
