#Frame        chi1:41      chi2:41
       1     -93.0830      96.3820
       2     -61.0533      79.2733
       3     -75.3320      84.9625
       4     -70.4657     114.7184
       5     -59.0737      88.3355
       6     -55.2517      98.4067
       7     -84.3478      96.7965
       8     -65.9929      99.7182
       9     -67.2595     100.6019
      10     -70.1524     112.1069
      11     -60.0090      95.1003
      12     -72.8286     123.8054
      13     -68.4128     118.8426
      14     -61.5502     111.3116
      15     -73.4931     102.0302
      16     -61.4344     112.6798
      17     -54.9974      92.7680
      18     -56.1101      87.7174
      19     -73.7220     121.7181
      20     -75.3179     117.6537
      21     -55.2610     101.1175
      22     -63.4258     113.2894
      23     -77.9358     108.9314
      24     -68.3739     115.0260
      25     -69.9796     105.1652
      26     -62.8497     116.8817
      27     -57.1698      90.0569
      28     -63.0656     121.4659
      29     -71.7919     108.9578
      30     -71.3000     121.6901
      31     -63.3052     100.3526
      32     -62.9226     116.4801
      33     -56.1729     102.1250
      34     -65.4723     105.7384
      35     -42.5483      91.5440
      36     -68.3385     101.6234
      37     -53.2330      81.8880
      38     -54.7244     117.0561
      39     -60.8102      95.7136
      40     -64.8188      98.3982
      41     -47.5144      98.3214
      42     -64.6177      91.2673
      43     -43.2868     100.9809
      44     -61.7296      86.7457
      45     -54.3341      93.5589
      46     -51.9294      98.8822
      47     -53.9621     114.9935
      48     -59.8889     108.9820
      49     -74.5005     109.2901
      50     -66.9242      97.9532
      51     -63.8313      92.1743
      52     -54.4784     107.5448
      53     -76.5147     105.3036
      54     -58.3134     102.3777
      55     -71.6594      99.6645
      56     -83.2968     129.4910
      57     -66.5762     116.5578
      58     -81.2841     108.6173
      59     -77.3204     114.0722
      60     -60.3816     106.3559
      61     -78.7950     128.0234
      62     -58.9523     113.7473
      63     -59.6469      92.0875
      64     -75.9737      99.5413
      65     -68.5007     109.1781
      66     -74.2518      97.1146
      67     -62.0651      84.7886
      68     -63.8548     107.2079
      69     -67.3216     103.7216
      70     -61.8481     103.0236
      71     -81.4121     101.1466
      72     -65.1073      87.6458
      73     -83.2283     100.4331
      74     -74.5243     114.1632
      75     -57.3227     108.0621
      76     -71.6535     118.3272
      77     -62.1815     120.2851
      78     -70.2834      86.5672
      79     -71.7798      93.3178
      80     -59.5284      88.1127
      81     -66.7536     100.9146
