#Frame     o_angle_m1   o_angle_m2
       1      13.1655      13.7873
       2      13.2694      17.4962
       3       6.1222       8.6842
       4       8.1656       9.1678
       5      11.9247      16.8663
       6       7.9973       9.2934
       7       9.3056      10.9178
       8      13.0426      14.7151
       9      13.3617      12.5118
      10      10.3572      13.6548
      11       8.1879       8.4283
      12      11.8005      14.3072
      13      13.0187      15.1889
      14       9.3535      11.4804
      15      10.1528      13.1369
      16       8.9236      11.2811
      17       9.8879      14.9028
      18       6.3024      10.0878
      19       9.3561      11.8195
      20       8.8117      13.0375
      21       9.1107      15.7895
      22       6.4438       8.4046
      23       5.2452       9.6985
      24       9.5639      10.6367
      25       8.5520      13.6466
      26       8.6952      10.8509
      27       7.1043      11.6801
      28      10.6615      12.1636
      29      10.8393      13.1158
      30      12.0212      12.3908
      31       7.1517      10.4602
      32      10.3842      11.0967
      33       7.8122       6.6880
      34      13.3656      12.4580
      35      10.4069      14.4055
      36       7.6859      10.3071
      37       7.5105       7.4530
      38      11.0041      11.9396
      39      11.7028      16.3435
      40      12.9807      11.8855
      41      10.8442      11.0555
      42      10.8151      12.1150
      43       7.9899       8.7516
      44      11.9932      12.4186
      45       9.6414      12.9387
      46       8.1833      10.2357
      47       7.8949      10.9786
      48      14.8043      15.6011
      49       8.7931       9.2783
      50       5.9451       7.8155
      51       9.0834      10.4139
      52       9.8062      13.1636
      53       6.8683       7.2097
      54       6.3127       9.0336
      55      10.3571      12.3618
      56       9.9469      10.6039
      57      10.3019      11.1926
      58       9.5186       7.5991
      59       9.2920      12.7933
      60       8.3159      11.3847
      61      13.8862      11.7089
      62      14.2205      11.4090
      63      10.7506       9.2133
      64       8.7946      11.6535
      65      12.3954      14.0564
      66      10.9174      11.2873
      67       9.1164      12.8076
      68      12.3598      16.5471
      69       6.9538       9.4169
      70       8.8855      13.9335
      71       9.9098      10.5319
      72       9.3706       6.6854
      73       9.5435      10.1491
      74      16.5253      20.8671
      75       9.3518      11.0973
      76       7.8913       7.8406
      77      10.7800      12.4634
      78      11.4777      14.5767
      79       9.4058      10.0522
      80      11.9408      14.3891
      81      12.3704      15.4011
      82      10.1683      13.3583
      83       9.5235      10.5953
      84      11.9340      12.9067
      85       6.7615      11.7343
