#Frame     o_angle_m1   o_angle_m2
       1      41.7069      34.0636
       2      38.8603      35.2570
       3      38.1379      34.1840
       4      41.4477      31.7918
       5      40.8551      27.4083
       6      38.1939      31.6683
       7      39.1923      35.3160
       8      39.7394      35.5968
       9      40.1559      33.2463
      10      40.6353      35.7914
      11      38.1249      37.7383
      12      35.3601      34.4926
      13      38.0146      37.6799
      14      35.0917      39.3150
      15      33.3197      39.8399
      16      35.9207      41.0611
      17      32.3177      36.6971
      18      35.3787      37.8332
      19      42.7767      39.6144
      20      36.2420      39.4395
      21      32.9805      44.6949
      22      28.0731      40.6670
      23      26.9515      44.2846
      24      29.8071      41.0208
      25      29.6617      40.4043
      26      30.4048      41.8580
      27      32.5099      39.9829
      28      35.9162      39.6233
      29      32.9312      42.3414
      30      36.1581      37.9145
      31      34.7205      37.4076
      32      38.6240      36.6430
      33      35.2191      39.9559
      34      36.0400      34.3968
      35      37.9281      34.4632
      36      36.2670      36.5559
      37      34.2313      35.6639
      38      33.4790      28.9614
      39      34.2590      28.6186
      40      36.7851      34.4458
      41      39.8789      31.7747
      42      41.1700      32.7995
      43      41.1122      35.7339
      44      41.4371      31.0243
      45      42.5875      36.0321
      46      43.3657      34.0859
      47      40.4018      35.7577
      48      43.8193      31.6325
      49      36.9562      31.6562
      50      40.8024      36.6492
      51      41.4296      33.6807
      52      37.7202      33.3802
      53      36.8898      34.2770
      54      35.4157      34.6126
      55      37.7951      35.9216
      56      37.3731      35.5122
      57      33.0172      36.4492
      58      38.6469      39.1285
      59      36.6529      38.4760
      60      33.4479      33.0239
      61      35.0369      36.6832
      62      34.0207      37.0422
      63      33.4111      35.7813
      64      31.2090      35.9496
      65      32.9512      37.9232
      66      31.4758      37.0197
      67      35.6834      34.4085
      68      32.9974      37.4257
      69      35.3378      35.9874
      70      31.5743      35.4607
      71      34.8006      34.4768
      72      33.9594      34.1664
      73      37.3494      33.9479
      74      35.8185      35.0201
      75      33.8075      34.6261
      76      30.0013      38.1531
      77      34.7966      34.3026
      78      35.5262      35.5931
      79      36.1870      33.3080
      80      35.2565      35.4143
      81      31.9771      31.4928
      82      32.4773      34.0655
      83      33.9952      37.1842
      84      33.6086      36.7987
      85      31.8455      39.8106
      86      32.8982      40.4066
      87      37.2634      42.7055
      88      37.3566      41.6446
      89      35.3794      41.1594
      90      35.4477      39.6287
      91      37.7537      37.1409
      92      38.1729      37.2057
      93      35.6149      34.0926
      94      36.8669      38.5044
      95      33.3943      33.3761
      96      35.8578      40.3168
      97      34.2552      40.2641
      98      35.3003      41.8747
      99      32.9700      39.8756
     100      33.9546      39.9861
     101      33.7664      42.8780
     102      36.7275      39.4825
     103      40.7806      41.6847
     104      35.3111      35.4230
     105      35.6713      36.2152
     106      32.8406      34.5544
     107      35.6059      33.8204
     108      37.2283      34.3135
     109      37.1376      37.2488
     110      38.2353      38.9640
     111      38.7126      36.7393
     112      35.5766      36.5804
     113      33.0442      34.1707
     114      34.0808      35.7376
     115      36.5485      34.8984
     116      36.7642      35.3427
     117      33.6158      33.9122
     118      34.2134      36.3728
     119      35.3189      37.0827
     120      37.5051      37.3843
     121      36.6740      41.3397
     122      34.7381      37.0955
     123      36.7238      36.2541
     124      35.5528      38.0861
     125      40.0397      36.0767
     126      36.2311      34.4753
     127      36.8554      34.4693
     128      36.6210      36.3808
     129      35.5433      37.2768
     130      37.1591      34.3041
     131      37.5168      37.8609
     132      38.0802      38.7842
     133      40.1222      36.9761
     134      40.4199      37.7224
     135      36.7870      36.4997
     136      37.0000      36.9097
     137      37.9816      37.1886
     138      33.9107      38.5039
     139      36.0410      37.9960
     140      35.9423      36.0168
     141      39.1767      36.0482
     142      38.2008      36.4095
     143      36.8860      35.9234
     144      36.1563      33.6082
     145      34.9098      33.6612
     146      37.2537      39.2737
     147      35.0386      36.6792
     148      38.6139      34.5293
     149      37.7937      35.3384
     150      39.6714      37.2834
     151      33.6546      35.8290
     152      40.1506      37.4323
     153      34.7970      38.5246
     154      33.7049      34.6073
     155      36.9726      33.6938
     156      37.3248      36.1692
     157      33.4698      30.0977
     158      36.2823      31.4538
     159      36.5694      35.9986
     160      35.8785      34.0030
     161      37.1785      33.9321
     162      38.6871      37.0996
     163      37.7151      36.9932
     164      37.6991      41.0088
