#Frame     o_angle_m1   o_angle_m2
       1      39.1442      43.3556
       2      38.4896      42.1052
       3      37.5962      42.2203
       4      37.9032      41.4213
       5      38.7118      42.7223
       6      38.5039      42.8413
       7      39.2194      42.3214
       8      38.8381      46.3298
       9      38.2151      44.8119
      10      37.7303      42.7635
      11      35.0767      39.9900
      12      38.5712      41.5844
      13      36.9823      43.0319
      14      35.4973      39.4531
      15      35.5599      40.9153
      16      36.8113      39.6141
      17      33.2480      38.0904
      18      34.3457      40.3603
      19      33.2429      39.4331
      20      36.0328      40.5136
      21      35.3108      39.9323
      22      37.6513      41.5443
      23      36.1491      43.2103
      24      37.9050      43.9784
      25      37.5410      42.3182
      26      37.1800      43.4530
      27      38.3888      41.9507
      28      40.3474      43.2948
      29      37.9576      40.3743
      30      39.0057      40.6493
      31      37.8219      41.0014
      32      38.7415      42.6127
      33      38.3399      42.1964
      34      36.0611      39.4199
      35      38.7855      39.9195
      36      37.6366      37.7848
      37      37.1691      36.8989
      38      36.8724      37.6408
      39      40.8976      38.9705
      40      39.0129      39.1853
      41      37.5938      38.4722
      42      42.0275      40.0325
      43      41.4216      39.2804
      44      41.6535      38.6213
      45      41.0612      38.4005
      46      43.0177      40.1649
      47      39.1395      38.8578
      48      42.5532      39.0483
      49      43.3535      37.5534
      50      40.5653      37.2561
      51      41.3371      34.8901
      52      38.9927      36.1076
      53      40.7953      37.1209
      54      43.9979      38.7836
      55      40.0859      36.6059
      56      36.5061      37.2659
      57      39.7688      37.4987
      58      41.5100      38.3093
      59      40.2266      37.5392
      60      41.6575      35.9374
      61      41.1251      38.9966
      62      44.0447      39.2736
      63      37.9643      37.9973
      64      38.1482      38.4196
      65      37.3754      37.8222
      66      41.4745      40.1227
      67      36.7420      38.3655
      68      37.0056      39.0951
      69      34.3522      39.5643
      70      37.4500      40.6485
      71      37.6728      40.1550
      72      37.3832      39.7543
      73      40.4955      39.7526
      74      39.9040      38.9699
      75      37.4282      37.3907
      76      35.1626      39.3747
      77      34.6889      39.2431
      78      36.2304      38.7338
      79      35.4680      39.4090
      80      38.5831      39.1216
      81      37.3613      36.8044
      82      37.7265      37.2765
      83      41.8120      37.3260
      84      38.9279      39.8334
      85      38.0917      39.2210
      86      37.7404      40.5166
      87      37.9679      39.4361
      88      35.9035      40.9212
      89      36.6185      39.8449
      90      38.4377      39.5881
