#Frame       chi1:129     chi2:129
       1     -58.8926     102.4189
       2     166.2349      89.8515
       3     167.8684      89.9309
       4     169.6289      88.1475
       5     152.5895     103.6266
       6     177.1725      77.7876
       7     -67.8843     103.2342
       8     160.8039     104.7049
       9     -53.9589      95.0923
      10     -66.0608      92.7777
      11     -87.6657      95.6333
      12     -62.9573     113.9301
      13     -92.0578      88.2195
      14     -72.5534      99.9719
      15     165.0695      74.6095
      16     -79.5315     105.2769
      17     -81.6200      87.9142
      18     -82.9402     105.4888
      19     -46.9964      93.0505
      20     -87.2304     109.7782
      21     -66.9508      96.5928
      22     -60.5650      94.7727
      23     171.7146      65.4540
      24     -93.9705     110.7502
      25     173.2975      91.0583
      26     -78.1107      70.7838
      27     179.7997      78.3303
      28     -87.0386     107.0629
      29     176.9776      85.6343
      30     163.2441      76.3179
      31     -71.6330      94.4199
      32     168.3051      87.1351
      33     157.2820      82.4156
      34     169.1564      95.8423
      35     -65.9628      98.3411
      36     -80.4193      97.0521
      37     -85.4262     116.1335
      38     -70.8388      59.6388
      39     -94.4182      84.1964
      40     166.2121      79.0848
      41     157.5689      89.0205
      42     170.5526      87.6922
      43     166.0957      79.7876
      44     176.2048      74.7072
      45     -85.1864     117.6040
      46     176.1263      58.2219
      47     158.7581      64.4399
      48     173.1869      86.1635
      49     -79.8083      97.9443
      50     -62.0324      98.8985
      51     172.2354     102.5687
      52     -59.9585     101.9660
      53     162.3164      93.8875
      54     164.7050      80.6421
      55     174.5345      81.8084
      56     165.3402      85.4743
      57     169.8757      77.6449
      58     -54.4087     102.5042
      59     155.0643      79.0916
      60     168.1721      73.3429
      61     162.0133      83.6767
      62     172.0132      99.4561
      63     164.3088      83.2868
      64     -82.8281      92.0770
      65     -54.5039      88.4095
      66     175.0481      81.7018
      67     178.6882      77.7699
      68     -51.2704      98.4733
      69     159.9180      88.2899
      70     167.8537      79.8409
      71     165.4692      69.7599
      72     -80.2621     109.6922
      73     155.6192     103.0567
      74     155.8386      85.8805
      75     171.2340      89.9630
      76     157.8928      60.1703
      77     -97.9944     113.4507
      78     -91.9771     111.0278
      79     172.8582      86.1966
      80     159.6854      87.3071
      81     164.6337      81.7604
      82     162.6201      77.9064
      83     -78.1327      77.8483
      84     163.6545      94.1526
      85     158.0049      71.9562
      86     163.2827      80.5691
      87     -87.0754     104.0682
      88     170.9399     101.6692
      89     -77.0681     100.7687
      90     -74.6675      94.0396
      91     159.4179      90.3124
      92     -55.9163      79.7783
      93     -67.5276     110.1500
      94     -76.2564     106.2149
      95     -66.3415      92.9411
      96     161.1660      96.8937
      97     -77.3188     123.4706
      98     168.1921      90.5639
      99     -64.5163     106.1451
     100     179.3260      81.7491
     101     -79.6461      91.0254
     102     176.0736      88.2873
     103     -74.0450     101.1983
     104     -69.0786     104.4528
     105     152.3842      95.8883
     106     -87.3716     106.8561
     107     166.9748      65.7073
     108     -54.5440     101.2877
     109     -74.6044     115.7974
     110     -70.5239     100.1607
     111     -72.8986     124.8881
     112     161.1710      92.2865
     113     -77.4945      88.5439
     114     159.6357      97.4833
     115     151.8589      92.8789
     116     174.2630      62.0883
     117     178.6586      76.2025
     118     179.7253      88.3336
     119     -73.8630     138.7772
     120     -84.6482      98.7605
     121     -71.4012     105.6734
     122     164.7239      79.6404
     123     -67.3484     100.9352
     124     168.7292      86.1684
     125     -78.9730      78.1157
     126     -80.1107      96.7498
     127     -77.0394      65.9674
     128     163.2405      91.7659
     129     -61.2023      98.0761
     130     156.7612      82.0690
     131     157.1143      88.6440
     132     172.9986      68.9447
     133     -69.8345     108.6322
     134     155.1113      85.7192
     135     169.3947      81.4382
     136     -70.9996     111.7070
     137     -81.4306     105.6004
     138     -74.6056      91.1359
     139     -70.5911      91.0786
     140     162.6052      91.9238
     141     167.2589      82.1810
     142     175.5500      84.1827
     143     175.4080      89.6845
     144     -98.3710     114.1888
     145     -87.6954     101.0194
     146     173.1135      98.6153
     147     162.5912      92.8758
     148     177.3308      68.6394
     149     -89.9769      85.7665
     150     -72.2939     100.1759
     151     161.5852      75.5805
     152     -72.1964     114.8651
     153     172.7581      75.5042
     154     -69.3018     120.9103
     155     -70.6156     119.5282
     156     -58.9338      97.9177
     157     -83.6868     104.9504
     158     162.1966      92.9145
     159     -95.3445     114.8190
     160     177.6157      84.7131
     161     163.1350      74.5276
     162    -176.7158      72.7007
     163     -64.1345     108.8772
     164     -71.0804     114.8492
     165     -66.5296      87.3642
     166     173.4265      68.5240
     167     -74.3495     108.8004
     168     -79.5645     116.6560
     169     167.2110      61.2696
     170     -72.4885     102.7793
     171     -86.8679     108.5106
     172     163.8243      89.2372
     173     170.0884      88.5654
     174    -178.0936      75.6022
     175     173.8109      87.2862
     176     167.4468      86.4916
     177     167.6189      91.2021
     178     -70.8340     101.6330
     179     156.2863      80.4442
     180     -59.0176     121.8049
     181     -75.1806     109.0739
     182     156.6483     103.3545
     183     159.6282      93.5914
     184     -83.5264      74.7451
     185     -57.6024     101.6197
     186     171.9628      88.8586
     187     157.3095      83.9847
     188     165.4825      95.3356
     189     -73.6550     116.2296
     190     163.1934      92.5379
     191     164.2185      85.9255
     192     -75.4265     117.4221
     193     169.3829      82.6896
     194     -73.7396      87.4845
     195     -58.5709      87.3612
     196     -89.1824     108.6578
     197     143.6919      83.6164
     198     -71.4235      95.0304
     199     -85.3662      86.4034
     200     164.5776      78.1299
     201     154.9937      80.9053
     202     163.0093      95.4442
     203     167.9844     108.6685
     204     160.0782      88.0410
     205     162.2762      55.6063
     206     169.0270      80.0495
     207     -74.9134     103.2689
     208     169.1198      87.8511
     209     170.0043      85.6838
     210     -87.7704     104.7523
     211     -71.3955      97.1968
     212     -52.6763      88.1563
     213     176.2487      71.9432
     214     -84.6020     108.5725
     215     -61.6132     104.1018
     216    -177.2959      77.8806
     217     154.6683     101.2579
     218     -74.7100     115.0923
     219     161.8245      87.9893
     220     168.2019      92.9737
     221     -64.0208      95.9569
     222     -70.7370     103.9315
     223     166.4450      84.7525
     224     -77.9506     117.4130
     225     -93.9362      88.8959
     226     -71.6361     104.0915
     227     147.1739      97.7385
     228    -178.7090     104.8512
     229     164.3518     107.7528
     230     168.2578      92.6552
     231     -75.8251     109.0223
     232     -49.7707      87.2991
     233     -70.0200      90.6873
     234     163.1993      94.2323
     235     -84.4657      94.2632
     236     -75.2233      85.9855
     237     -80.9288     112.9689
     238     171.6944      84.9230
     239     161.8604      75.0083
     240     165.7614      88.4497
     241     163.8106      78.9135
     242     175.9529      68.4251
     243     -77.8208     113.1132
     244     -87.8057      94.0473
     245     -89.2555     105.2529
     246     159.3809      74.7323
     247     158.4284     109.4978
     248     -63.1758     105.1456
     249     172.3870      85.1346
     250     166.0277      82.5684
     251     -69.9433     104.8507
     252     -72.3912      94.1738
     253     -58.6423      81.3412
     254     164.9279      86.6370
     255     167.1121      80.5326
     256     166.5826      71.9644
     257     165.1137      93.8873
     258     -58.4295      78.8884
     259     165.3556      96.2474
     260     161.1984      79.4261
     261     -61.5135      68.2818
     262     -80.0479      87.9700
     263     175.2308      73.9783
     264     168.4045      88.7284
     265     164.6949     101.2877
     266     151.2326      96.2121
     267     -75.3344     100.0039
     268     154.5016      79.0912
     269     -75.4216      87.4246
     270     154.1643     100.2050
     271     -64.2651      94.8379
     272     -73.7302     107.9564
     273     162.8656      93.1468
     274     163.3947      95.5378
     275     177.3652      95.4929
     276     -98.9270      89.2655
     277     -99.9531      95.5951
     278     -83.5252      99.1510
     279     166.8204      83.9439
     280     179.4598      70.2677
     281     -85.0576      99.8855
     282     168.1301      80.0828
     283     -81.2351      99.3858
     284     157.1364      83.7404
     285     -83.0650      94.1703
     286     -93.5901     119.3246
     287     -77.8605     107.6866
     288     -77.0129     128.9553
     289     170.8158      77.6329
     290     -68.3226     112.1141
     291     -66.9151      94.6598
     292     -70.9822      90.1221
     293     143.9876      89.7181
     294     163.7410      87.6539
     295     -87.3377     107.5328
     296     166.9451      95.7121
     297     -80.7062      85.4120
     298     -67.6294      94.6105
     299     159.9331     101.1975
     300     158.0261     102.4804
     301     -74.7066     101.3379
     302     -60.4614      84.6586
     303     -70.9793      64.4100
     304     -65.7771     102.3137
     305     -66.4876      56.4184
     306     169.2605      70.1321
     307     171.6418      95.4323
     308     -70.0463      97.0944
     309     177.7756      93.8094
     310     -59.7759     116.7420
     311     159.7273      69.9970
     312     162.1516      96.3752
     313     177.0788      76.4764
     314     155.5439     108.0394
     315     178.0697     106.9852
     316     153.9433      96.2110
     317     -68.0894     105.2472
     318     -81.7185      94.5913
     319    -178.9814      68.9507
     320     -69.0006     111.3189
     321     178.4542      89.3206
     322     -74.0449     113.3158
     323     -74.0838     123.6675
     324     -72.9611      96.0128
     325     154.9092      86.4451
     326     168.6260      97.5127
     327     158.4432      84.6107
     328     153.7369      88.3836
     329     165.0361      76.1573
     330     160.6796      91.9158
     331     166.7664     103.7927
     332     163.8479     105.9608
     333     -76.4202      88.5891
     334    -178.3929      73.5287
     335     -95.7700     123.7272
     336     160.9629      81.4032
     337    -174.6153      78.5288
     338    -176.8572      72.8193
     339     -67.6382     101.4874
     340     -53.1782      87.2172
     341     172.6659      77.4954
     342     161.8307      72.4957
     343     179.3208      98.4404
     344    -177.8558      91.9002
     345     -62.7908      99.8314
     346     -73.9455     129.3701
     347     168.0006      77.2782
     348     177.4374      78.3916
     349     -66.6488      94.7296
     350     -83.7707      89.4098
     351     -83.6223     121.5801
     352     -69.5186      79.4756
     353     164.0855      94.1642
     354     -63.2460     104.6782
     355     153.1213      77.1738
     356     -61.3478     100.4474
     357     172.1081      83.6296
     358     160.2958      95.2784
     359     -93.4647     109.0713
     360     161.4627      92.2702
     361     -63.8890     100.8615
     362     -83.7245     110.8921
     363     -79.5565     107.3930
     364     152.4667     106.2237
     365     -88.2652      96.2158
     366     155.3767      91.6362
     367     -67.2429     108.1228
     368     162.6611      89.6029
     369    -103.9705     125.5977
     370     176.7414      86.8162
     371     -58.0362     116.9069
     372     -78.2883      70.9281
     373     -68.9286      91.5197
     374     -92.7141      91.6957
     375     -82.1577      91.7664
     376     -71.8913     101.1957
     377     -83.4908     109.4241
     378     -66.9496      79.6964
     379     156.5943      86.9549
     380     167.5763      93.3164
     381     164.0711      80.8751
     382     -65.0572     105.2599
     383     163.6769      95.1477
     384     157.2933      56.6008
     385     159.6781      75.2751
     386     167.1340      64.5611
     387     -85.8749     102.5464
     388     -69.6759     104.7125
     389     152.4821      89.4101
     390     156.4622      86.8716
     391     -83.4115     100.0864
     392     -83.9782      91.9811
     393     167.8421      79.7712
     394     -69.6900     107.5191
     395     154.4078      81.0599
     396     158.9169      86.1520
     397     169.9604      76.9723
     398    -172.8130      87.2030
     399     165.9366      87.8942
     400     153.1921     103.5370
     401     151.8741     101.3282
     402     -89.7333      97.5177
     403     160.2755      71.1959
     404     -74.7040      92.4457
     405     -64.7321      99.0930
     406     161.7818      83.7095
     407     163.0227      98.4771
     408     163.2196      90.3651
     409     -78.8404      96.2589
     410     157.7255      99.1905
     411     -70.9911     106.7789
     412     176.8700      77.0237
     413     168.4333     100.5799
     414     -82.0755     123.0007
     415     159.1332      77.7740
     416    -166.8936      79.6297
     417     -91.3713     121.8973
     418     170.1861      68.4875
     419     -82.1817      89.3953
     420     158.5403      89.3102
     421     167.4332      77.7748
     422     -77.1073      98.3669
     423     -70.4419     100.5660
     424     168.7727      75.6411
     425     -76.6304     105.0744
     426     -75.3616     103.8269
     427     -69.6474      88.4889
     428     158.6319      68.4271
     429     171.5388      98.9590
     430     -76.1660     110.8658
     431     166.2532      85.5613
     432     169.2215      97.8447
     433     146.4449      85.5269
     434     172.0794      74.1090
     435     170.6398      95.1399
     436     -71.7298     104.1378
     437     -58.7277     104.1962
     438     -96.1284     103.9018
     439     -97.0941     107.0791
     440     -87.3076      69.3623
     441     -60.9097     104.9468
     442     -71.6944      96.6196
     443     -84.8441      95.9504
     444     165.9445      89.2249
     445    -163.8414      85.7625
     446     174.6949      77.4388
     447     171.4302      87.3112
     448     168.4739      92.8629
     449     -79.9494      95.8135
     450     156.2272      87.6391
     451     -67.6257      77.5553
     452     -70.8116      94.3039
     453     158.4256      72.6677
     454     -62.2254      93.7299
     455     169.8234      79.4482
     456     -87.5421     113.5262
     457     165.1264      80.8130
     458    -178.3607      67.1700
     459     161.5002      91.0740
     460     173.5984      95.0893
     461     171.1648      89.8994
     462     -77.2624      99.8694
     463     168.3947      86.8202
     464     158.3870      95.6703
     465     -91.4603     112.1814
     466     -86.7766      87.5024
     467     -85.6116      82.8390
     468     173.2737      74.1245
     469     163.2515      84.9989
     470     172.1349      95.0595
     471     164.0259      65.5840
     472     -93.1517     109.5460
     473     171.9464      84.7486
     474     -86.2642     111.1118
     475     -89.7859     127.2491
     476     -76.8174     102.9249
     477    -170.2962      76.5392
     478     162.6634      81.1683
     479    -104.6767     101.3693
     480    -100.2905     105.9261
     481    -164.3571      80.2775
     482     -61.2792      89.4703
     483     163.1435      86.9738
     484     -82.5962      93.3920
     485     -77.5153      70.9884
